,Product ID,hasDiscount,Quantity
4,FUR-ADV-10000183,False,11.0
5,FUR-ADV-10000183,True,20.0
6,FUR-ADV-10000188,False,4.0
7,FUR-ADV-10000188,True,3.0
16,FUR-ADV-10001283,False,1.0
17,FUR-ADV-10001283,True,2.0
20,FUR-ADV-10001659,False,8.0
21,FUR-ADV-10001659,True,2.0
22,FUR-ADV-10001855,False,3.0
23,FUR-ADV-10001855,True,1.0
26,FUR-ADV-10002601,False,9.0
27,FUR-ADV-10002601,True,2.0
30,FUR-ADV-10002889,False,15.0
31,FUR-ADV-10002889,True,4.0
34,FUR-ADV-10003326,False,2.0
35,FUR-ADV-10003326,True,2.0
38,FUR-ADV-10004223,False,1.0
39,FUR-ADV-10004223,True,1.0
40,FUR-ADV-10004395,False,6.0
41,FUR-ADV-10004395,True,5.0
44,FUR-ADV-10004718,False,5.0
45,FUR-ADV-10004718,True,4.0
62,FUR-BAR-10003532,False,1.0
63,FUR-BAR-10003532,True,8.0
68,FUR-BAR-10004553,False,1.0
69,FUR-BAR-10004553,True,2.0
84,FUR-BEV-10002369,False,1.0
85,FUR-BEV-10002369,True,6.0
88,FUR-BEV-10003414,False,1.0
89,FUR-BEV-10003414,True,1.0
94,FUR-BO-10000002,False,8.0
95,FUR-BO-10000002,True,1.0
100,FUR-BO-10000022,False,4.0
101,FUR-BO-10000022,True,10.0
104,FUR-BO-10000035,False,12.0
105,FUR-BO-10000035,True,9.0
106,FUR-BO-10000038,False,1.0
107,FUR-BO-10000038,True,17.0
108,FUR-BO-10000071,False,9.0
109,FUR-BO-10000071,True,13.0
110,FUR-BO-10000087,False,16.0
111,FUR-BO-10000087,True,18.0
112,FUR-BO-10000112,False,5.0
113,FUR-BO-10000112,True,19.0
116,FUR-BO-10000148,False,5.0
117,FUR-BO-10000148,True,6.0
122,FUR-BO-10000175,False,6.0
123,FUR-BO-10000175,True,11.0
126,FUR-BO-10000195,False,2.0
127,FUR-BO-10000195,True,10.0
128,FUR-BO-10000203,False,6.0
