count,mean,std,min,25%,50%,75%,max
25033.0,241.95384068229933,470.3764620463903,0.556,30.3,83.7322,244.8,11200.0
25033.0,3.475811928254704,2.283232649380784,1.0,2.0,3.0,5.0,14.0
25033.0,0.14144241601086568,0.21137146832236517,0.0,0.0,0.0,0.2,0.85
25033.0,25.152650683497786,160.83831230709583,-3839.99,-2.088,7.812,32.88,5039.99
25033.0,26.066674749330883,57.56230426936373,0.002,2.59,7.68,23.949,933.57
25033.0,9.01434106978788,4.5813369873913485,1.0,5.0,10.0,13.0,17.0
25033.0,3.2954500059920906,0.9598618451278719,1.0,2.0,4.0,4.0,4.0
25033.0,979.6503814964248,954.2642424050102,1.0,182.0,669.0,1540.0,3765.0
25033.0,1.7820077497703033,0.8773319901844344,1.0,1.0,1.0,3.0,3.0
25033.0,1.596852155155195,0.8212149862273798,1.0,1.0,1.0,2.0,4.0
25033.0,4.558902249031279,2.0053997758995155,1.0,3.0,5.0,6.0,7.0
